client_id,company_name,siren,siret,vat_number,billing_email,billing_contact_name,phone,city,postal_code,country,account_status,last_invoice_date,source_file,notes
B2B-38705-0016,Transports Garnier & Fils,394210478,39421047811813,FR74394210478,facturation.transportsgarnierfil@laposte.net,Isabelle Lemaire,+33 6 26 79 56 77,Marseille,13001,FR,Actif,2023-11-25,import_crm_2024_Q1.xlsx,Email facturation manquant
B2B-19869-0017,  Groupe Lambert SARL  ,236851607,,FR54236851607,facturation.groupelambertsarl@laposte.net,Anne Moreau,+33 5 23 96 39 70,Bordeaux,33000,FR,Suspendu,2023-09-11,partner_feed_b2b.csv,
B2B-28320-0018,Services Faure EURL,004711388,00471138887881,FR15004711388,facturation.servicesfaureeurl@societe.com,Philippe Bonnet,+33 4 63 93 22 72,Nantes,44000,FR,Actif,2024-01-13,import_crm_2024_Q1.xlsx,Doublon suspecté
B2B-81364-0019,Industrie Dupont SARL,506431719,50643171943713,FR77506431719,facturation.industriedupontsarl@orange.fr,Pierre Bonnet,+33 6 85 37 39 52,Reims,51100,FR,En attente,2023-05-29,legacy_erp_export.csv,
B2B-96646-0020,Équipements Perrin SAS,133890832,13389083293850,FR6713389,facturation.quipementsperrinsas@gmail.com,Pierre Durand,+33 6 85 51 12 32,Bordeaux,33000,FR,Actif,2024-07-14,migration_batch_12.xlsx,Client prioritaire - relance facturation
B2B-90623-0021,soLUTiOnS MoREAU SaRl,940265427,94026542728221,FR15940265427,facturation@.fr,Julie Dupuis,+33 7 92 13 17 71,Strasbourg,67000,FR,Actif,2024-05-24,manual_onboarding_2023.xlsx,Migration ERP en cours
B2B-59060-0022,Solutions Laurent SASU,271111619,27111161976869,FR54271111619,facturation.solutionslaurentsasu@societe.com,Thomas Leroy,+33 9 55 95 64 16,Paris,75001,FR,Actif,2022-08-10,manual_onboarding_2023.xlsx,Compte créé avant réforme facturation électronique
B2B-58176-0023,équiPEMentS dUponT saSu,149368993,14936899386223,FR68149368993,facturation.quipementsdupontsasu@laposte.net,Jean Robert,+33 7 53 54 10 33,Saint-Étienne,42000,FR,Suspendu,2023-09-24,import_crm_2024_Q1.xlsx,Client prioritaire - relance facturation
B2B-61807-0024,Groupe Blanc SARL,900343249,,FR60900343249,,,+33 6 74 81 95 55,Paris,75001,FR,En attente,2024-05-29,migration_batch_12.xlsx,SIRET à vérifier
B2B-93904-0025,Distribution Garnier SARL,641605297,64160529713875,FR89641605297,facturation.distributiongarniers@orange.fr,Philippe Bonnet,+33 6 60 49 53 38,Strasbourg,67000,FR,Actif,2023-12-21,legacy_erp_export.csv,Client prioritaire - relance facturation
B2B-23474-0026,Distribution Marchand France,243292129,,FR93243292129,facturation.distributionmarchand@societe.com,Catherine Dupuis,+33 5 90 50 29 66,Rennes,35000,FR,Actif,2024-08-03,partner_feed_b2b.csv,
B2B-17456-0027,Distribution Lambert France,541199861,5411998610537,FR15541199861,facturation@.fr,Anne Dupuis,+33 7 74 29 17 67,Grenoble,38000,FR,Inactif,2024-12-09,migration_batch_12.xlsx,
B2B-57696-0028,Maintenance Bernard SASU,155940782,15594078216361,,facturation@.fr,Nicolas Moreau,+33 7 96 86 16 90,Nice,06000,FR,En attente,2022-11-04,manual_onboarding_2023.xlsx,
B2B-86380-0029,Équipements Faure & Fils,254629148,25462914843054,FR40254629148,facturation.quipementsfaurefils@orange.fr,François Lemaire,+33 1 92 95 64 75,Reims,51100,FR,Actif,2022-10-09,legacy_erp_export.csv,
B2B-48770-0030,Industrie Moreau EURL,959310342,95931034210458,FR14959310342,facturation.industriemoreaueurl@gmail.com,Thomas Giraud,+33 1 94 53 89 26,Nice,06000,FR,Actif,2024-04-21,manual_onboarding_2023.xlsx,Client prioritaire - relance facturation
B2B-68222-0031,Industrie Garnier & Fils,947383474,94738347457749,,facturation.industriegarnierfils@entreprise.fr,Nicolas Moreau,+33 7 30 35 87 27,Rennes,35000,FR,En attente,2022-09-13,manual_onboarding_2023.xlsx,
B2B-31012-0032,SERVICES LAMBERT & FILS,752553418,75255341879840,FR10752553418,facturation.serviceslambertfils@laposte.net,Catherine Giraud,+33 7 21 38 67 54,Toulouse,31000,FR,Suspendu,2023-11-18,legacy_erp_export.csv,
B2B-15020-0033,Transports Girard SAS,472779019,,FR62472779019,facturation.transportsgirardsas@societe.com,Julie Bonnet,+33 6 46 40 48 25,Le Havre,76600,FR,En attente,2025-01-02,import_crm_2024_Q1.xlsx,Compte créé avant réforme facturation électronique
B2B-85372-0034,Négoce Perrin SAS,324609535,32460953587584,FR27324609535,facturation.ngoceperrinsas@gmail.com,Thomas Leroy,+33 6 59 70 15 91,Montpellier,34000,FR,Suspendu,2022-08-01,migration_batch_12.xlsx,Doublon suspecté
B2B-27486-0035,Services Bernard & Fils,058527725,05852772559988,FR92058527725,facturation.servicesbernardfils@gmail.com,,+33 6 15 50 49 75,Reims,51100,FR,Actif,2023-11-11,manual_onboarding_2023.xlsx,
B2B-58237-0036,Solutions Dubois SA,667652775,6676527751082,FR02667652775,facturation.solutionsduboissa@entreprise.fr,Marie Moreau,+33 4 79 47 51 23,Reims,51100,FR,Actif,2023-12-24,migration_batch_12.xlsx,SIRET à vérifier
B2B-45986-0037,Négoce Marchand SARL,016582020,01658202008812,FR10016582020,facturation.ngocemarchandsarl@orange.fr,François Leroy,+33 6 87 29 96 67,Marseille,13001,FR,Suspendu,2023-07-25,legacy_erp_export.csv,
B2B-13396-0038,Distribution Lefebvre SASU,278681446,27868144690961,FR89278681446,facturation.distributionlefebvre@entreprise.fr,Sophie Petit,+33 6 67 32 66 21,Nice,06000,FR,Actif,2023-09-07,legacy_erp_export.csv,
B2B-57381-0039,  Solutions Lambert SASU  ,831323703,83132370361263,FR47831323703,facturation.solutionslambertsasu@societe.com,Pierre Bonnet,+33 1 49 60 71 77,Nantes,44000,FR,Suspendu,2024-11-25,manual_onboarding_2023.xlsx,
B2B-82260-0040,Services Mercier SAS,922680182,92268018242291,FR58922680182,facturation.servicesmerciersas@orange.fr,Isabelle Giraud,+33 1 42 35 91 80,Marseille,13001,FR,En attente,2022-11-12,legacy_erp_export.csv,Doublon suspecté
B2B-83874-0041,Maintenance Dupont EURL,001094390,00109439082203,FR23001094390,facturation.maintenanceduponteur@societe.com,Nicolas Dupuis,+33 9 41 97 61 48,Saint-Étienne,42000,FR,Actif,2023-10-03,manual_onboarding_2023.xlsx,Doublon suspecté
B2B-62260-0042,Transports Blanc EURL,276483501,27648350130021,FR23276483501,,Isabelle Giraud,+33 7 40 69 25 44,Nice,06000,FR,Actif,2023-11-02,migration_batch_12.xlsx,Doublon suspecté
B2B-34881-0043,Logistique Faure SASU,278774701,27877470131552,FR09278774701,facturation.logistiquefauresasu@orange.fr,Anne Leroy,+33 7 73 86 93 96,Bordeaux,33000,FR,Inactif,2024-01-20,import_crm_2024_Q1.xlsx,SIRET à vérifier
B2B-16705-0044,ÉQUIPEMENTS MARCHAND FRANCE,983584163,98358416336663,FR85983584163,facturation.quipementsmarchandfr@societe.com,François Bonnet,+33 6 60 57 53 81,Lille,59000,FR,Suspendu,2023-11-14,partner_feed_b2b.csv,Compte créé avant réforme facturation électronique
B2B-69898-0045,Maintenance Mercier SASU,298259525,29825952566494,FR50298259525,facturation.maintenancemerciersa@societe.com,Thomas Fournier,+33 5 70 12 57 52,Nantes,44000,FR,Actif,2024-08-29,manual_onboarding_2023.xlsx,Client prioritaire - relance facturation
B2B-16731-0046,Transports Moreau SAS,972896230,97289623057807,FR24972896230,facturation.societe,Philippe Robert,+33 6 62 74 88 70,Paris,75001,FR,Inactif,2024-12-12,partner_feed_b2b.csv,Doublon suspecté
B2B-32699-0047,Industrie Roux SA,785854977,78585497739124,FR22785854977,facturation.industrierouxsa@orange.fr,Nicolas Michel,+33 9 50 71 54 81,Lille,59000,FR,Inactif,2023-12-08,legacy_erp_export.csv,Migration ERP en cours
B2B-15513-0048,Équipements Girard SASU,415747339,41574733935601,FR24415747339,@domaine.fr,Marie Bonnet,+33 4 41 16 95 77,Grenoble,38000,FR,Actif,2025-02-01,legacy_erp_export.csv,SIRET à vérifier
B2B-95575-0049,Négoce Roux SASU,773454012,77345401294780,FR22773454012,facturation.ngocerouxsasu@gmail.com,Pierre Moreau,,Grenoble,38000,FR,Actif,2023-11-18,manual_onboarding_2023.xlsx,Email facturation manquant
B2B-94058-0050,logistique blanc sas,887287433,88728743360150,FR48887287433,facturation.logistiqueblancsas@laposte.net,Julie Robert,+33 7 47 82 96 34,Grenoble,38000,FR,Actif,2022-10-15,partner_feed_b2b.csv,Doublon suspecté
B2B-42512-0051,Négoce Dupont SA,046374546,04637454647127,FR42046374546,facturation.ngocedupontsa@orange.fr,Jean Dupuis,+33 7 30 61 97 74,Montpellier,34000,FR,Actif,2023-03-29,legacy_erp_export.csv,
B2B-72676-0052,Groupe Laurent SAS,139537678,13953767818726,FR40139537678,facturation.groupelaurentsas@orange.fr,Catherine Lemaire,+33 5 63 99 80 70,Grenoble,38000,FR,En attente,2024-07-03,migration_batch_12.xlsx,Doublon suspecté
B2B-20237-0053,Services Simon SA,910883985,91088398568202,FR74910883985,facturation.servicessimonsa@entreprise.fr,Marie Dupuis,+33 7 21 75 67 17,Le Havre,76600,FR,Suspendu,2022-02-14,partner_feed_b2b.csv,Migration ERP en cours
B2B-10395-0054,Services Dubois EURL,884969658,88496965828746,,facturation.servicesduboiseurl@orange.fr,,+33 7 99 18 79 17,Lyon,69001,FR,Suspendu,2024-05-10,manual_onboarding_2023.xlsx,SIRET à vérifier
B2B-68790-0055,Équipements Faure SASU,661825128,66182512895401,FR50661825128,facturation.quipementsfauresasu@orange.fr,Jean Durand,+33 9 96 79 64 78,Marseille,13001,FR,Actif,2022-03-07,partner_feed_b2b.csv,
B2B-41544-0056,Industrie Martin EURL,311907906,31190790630715,FR38311907906,facturation.industriemartineurl@societe.com,Sophie Durand,+33 7 39 83 50 83,Bordeaux,33000,FR,Actif,2024-04-26,manual_onboarding_2023.xlsx,Migration ERP en cours
B2B-17989-0057,Maintenance Dubois SA,892687055,89268705554568,FR11892687055,facturation.maintenanceduboissa@entreprise.fr,Pierre Michel,+33 7 40 38 48 28,Grenoble,38000,FR,Actif,2023-06-07,legacy_erp_export.csv,Doublon suspecté
B2B-94765-0058,Maintenance Martin France,175183045,17518304524662,FR43175183045,facturation.maintenancemartinfra@societe.com,Julie Dupuis,+33 7 36 52 48 11,Lyon,69001,FR,Suspendu,2023-02-23,partner_feed_b2b.csv,Client prioritaire - relance facturation
B2B-82362-0059,Solutions Dubois EURL,546785441,,FR05546785441,facturation.solutionsduboiseurl@entreprise.fr,Isabelle Richard,+33 7 15 82 38 28,Bordeaux,33000,FR,Actif,2024-02-17,migration_batch_12.xlsx,Client prioritaire - relance facturation
B2B-75444-0060,Services Laurent & Fils,854777252,85477725264004,FR95854777252,facturation.serviceslaurentfils@orange.fr,Thomas Dupuis,,Lille,59000,FR,Actif,2022-05-04,migration_batch_12.xlsx,Email facturation manquant
B2B-96413-0061,  Équipements Girard SASU  ,700886004,70088600402246,FR82700886004,facturation.quipementsgirardsasu@societe.com,Julie Dupuis,+33 6 23 22 77 29,Nice,06000,FR,Inactif,2025-03-03,legacy_erp_export.csv,Client prioritaire - relance facturation
B2B-49318-0062,Transports Dupont & Fils,101666877,10166687710837,FR51101666877,facturation.transportsdupontfils@entreprise.fr,Philippe Dupuis,+33 1 77 15 39 37,Marseille,13001,FR,Actif,2025-01-17,migration_batch_12.xlsx,
B2B-33508-0063,Services Roux SASU,503926148,,FR88503926148,facturation.servicesrouxsasu@societe.com,Isabelle Moreau,+33 4 98 20 74 54,Le Havre,76600,FR,Inactif,2023-10-31,import_crm_2024_Q1.xlsx,Migration ERP en cours
B2B-61068-0064,Négoce Marchand SASU,012269163,01226916350019,INVALID,facturation.ngocemarchandsasu@entreprise.fr,Sophie Leroy,+33 7 65 33 97 84,Nice,06000,FR,Actif,2024-01-09,import_crm_2024_Q1.xlsx,
B2B-10680-0065,Maintenance Marchand SASU,475412122,,FR79475412122,facturation.maintenancemarchands@entreprise.fr,Marie Durand,+33 6 86 86 51 59,Lille,59000,FR,Actif,2025-03-17,migration_batch_12.xlsx,
B2B-99825-0066,Services Marchand SARL,801845144,80184514456985,FR46801845144,facturation.servicesmarchandsarl@entreprise.fr,Pierre Robert,+33 7 73 28 18 31,Grenoble,38000,FR,En attente,2023-02-05,partner_feed_b2b.csv,
B2B-27758-0067,Solutions Perrin France,406596571,40659657185332,FR78406596571,facturation.solutionsperrinfranc@societe.com,Pierre Michel,+33 6 71 50 32 60,Le Havre,76600,FR,Inactif,2023-07-29,partner_feed_b2b.csv,Doublon suspecté
B2B-24927-0068,Industrie Marchand France,939828072,93982807290811,FR69939828072,facturation..dupont@mail.fr,Philippe Dupuis,+33 7 40 42 94 29,Nice,06000,FR,Suspendu,2024-05-06,migration_batch_12.xlsx,
B2B-57124-0069,Transports Faure France,891135297,89113529756420,FR58891135297,facturation.transportsfaurefranc@gmail.com,Jean Petit,,Nantes,44000,FR,Inactif,2022-06-25,import_crm_2024_Q1.xlsx,
B2B-55656-0070,Logistique Marchand & Fils,457387577,45738757759303,FR64457387577,facturation.logistiquemarchandfi@laposte.net,Marie Michel,+33 6 12 53 92 23,Grenoble,38000,FR,En attente,2024-05-23,partner_feed_b2b.csv,Client prioritaire - relance facturation
B2B-52727-0071,Services Garnier France,482814890,48281489026071,FR39482814890,facture.servicesgarnierfranc@orange.fr,Pierre Dupuis,+33 9 13 88 35 67,Marseille,13001,FR,Actif,2024-07-26,import_crm_2024_Q1.xlsx,Migration ERP en cours
B2B-97910-0072,Logistique Garnier SA,785969693,60012,DE14785969693,facturation.logistiquegarniersa@societe.com,Pierre Dupuis,+33 5 88 85 20 96,Le Havre,76600,FR,En attente,2022-10-10,migration_batch_12.xlsx,SIRET à vérifier
B2B-65448-0073,Services Simon SA,278282742,27828274259113,FR84278282742,facturation.servicessimonsa@societe.com,Jean Leroy,+33 9 27 34 59 81,Le Havre,76600,FR,Actif,2025-03-03,import_crm_2024_Q1.xlsx,Client prioritaire - relance facturation
B2B-48284-0074,Distribution Lambert SASU,043842798,04384279875066,FR92043842798,facturation.distributionlamberts@gmail.com,Nicolas Giraud,+33 5 79 15 66 79,Lyon,69001,FR,Actif,2024-07-10,manual_onboarding_2023.xlsx,Doublon suspecté
B2B-21401-0075,Services Laurent France,713395966,71339596627124,FR86713395966,facturation.serviceslaurentfranc@gmail.com,Anne Leroy,+33 6 51 47 47 83,Toulouse,31000,FR,Inactif,2022-05-02,manual_onboarding_2023.xlsx,
B2B-27392-0076,Groupe Perrin EURL,325367295,,FR15325367295,facturation.groupeperrineurl@gmail.com,Philippe Giraud,+33 5 68 72 51 84,Bordeaux,33000,FR,Actif,2022-05-10,migration_batch_12.xlsx,SIRET à vérifier
B2B-38551-0077,Négoce Laurent SASU,637454581,63745458163614,FR25637454581,facturation.ngocelaurentsasu@laposte.net,François Durand,+33 7 12 25 30 66,Le Havre,76600,FR,Actif,2022-11-22,manual_onboarding_2023.xlsx,
B2B-95798-0078,Industrie Perrin & Fils,541520647,54152064792235,,facturation.industrieperrinfils@gmail.com,Jean Richard,+33 6 85 38 76 97,Lyon,69001,FR,Inactif,2022-05-26,legacy_erp_export.csv,SIRET à vérifier
B2B-21708-0079,Services Bernard SASU,115542626,11554262601110,FR39115542626,facturation@,François Robert,+33 6 90 29 62 88,Rennes,35000,FR,Actif,2024-05-29,manual_onboarding_2023.xlsx,
B2B-42477-0080,Transports Mercier SAS,413899946,41389994679551,FR37413899946,facturation@,Sophie Lemaire,+33 6 40 73 59 24,Lille,59000,FR,En attente,2024-05-11,manual_onboarding_2023.xlsx,Compte créé avant réforme facturation électronique
B2B-99514-0081,Industrie Martin SARL,271091043,27109104352163,FR18271091043,facturation.industriemartinsarl@societe.com,Nicolas Dupuis,+33 9 64 99 61 20,Reims,51100,FR,Actif,2025-01-03,manual_onboarding_2023.xlsx,SIRET à vérifier
B2B-86865-0082,Logistique Marchand SASU,146303167,,FR33146303167,facturation.logistiquemarchandsa@laposte.net,François Lemaire,+33 4 25 11 27 99,Rennes,35000,FR,Actif,2022-09-17,manual_onboarding_2023.xlsx,
B2B-13847-0083,Groupe Roux SARL,880957017,88095701747576,FR42880957017,facturation.grouperouxsarl@laposte.net,Philippe Michel,+33 7 83 90 19 73,Toulouse,31000,FR,Actif,2024-11-08,import_crm_2024_Q1.xlsx,
B2B-39253-0084,Distribution  Lambert  SAS,911718225,91171822586474,FR00911718225,facturation.distributionlamberts@orange.fr,Jean Fournier,+33 6 32 14 80 93,Nice,06000,FR,En attente,2022-04-05,partner_feed_b2b.csv,
B2B-70960-0085,Industrie Mercier SASU,445187057,,FR96445187057,facturation.industriemerciersasu@societe.com,Sophie Fournier,+33 7 35 79 41 29,Reims,51100,FR,Actif,2022-01-03,partner_feed_b2b.csv,Migration ERP en cours
B2B-23624-0086,Solutions Marchand SASU,896383464,89638346488039,FR04896383464,compta.solutionsmarchandsas@orange.fr,Thomas Richard,+33 6 28 45 21 15,Bordeaux,33000,FR,Inactif,2022-06-03,migration_batch_12.xlsx,
B2B-67014-0087,Distribution Girard SAS,234456558,2344565582656,FR85234456558,facturation.distributiongirardsa@orange.fr,Anne Petit,+33 6 67 69 50 62,Lyon,69001,FR,Actif,2023-09-16,migration_batch_12.xlsx,
B2B-38183-0088,Groupe Girard France,521356808,521356808,FR47521356808,facturation.groupegirardfrance@entreprise.fr,Catherine Giraud,+33 4 22 69 23 27,Marseille,13001,FR,Suspendu,2022-06-22,migration_batch_12.xlsx,Migration ERP en cours
B2B-19828-0089,Transports Marchand SARL,013721519,01372151975220,FR00013721519,facturation.transportsmarchandsa@entreprise.fr,Julie Moreau,,Marseille,13001,FR,Actif,2023-08-28,partner_feed_b2b.csv,SIRET à vérifier
B2B-82179-0090,Équipements Roux & Fils,701462638,70146263871258,FR86701462638,facturation.quipementsrouxfils@gmail.com,Philippe Lemaire,+33 7 54 82 74 51,Reims,51100,FR,Actif,2024-08-24,migration_batch_12.xlsx,Doublon suspecté
B2B-86544-0091,Industrie Faure SA,321334800,32133480022768,FR79321334800,facturation.industriefauresa@orange.fr,Sophie Bonnet,+33 7 85 13 99 55,Saint-Étienne,42000,FR,Inactif,2025-01-15,manual_onboarding_2023.xlsx,
B2B-74282-0092,  Distribution Dupont SA  ,010393086,01039308680495,FR75010393086,facturation.distributiondupontsa@orange.fr,Pierre Leroy,+33 5 17 12 28 85,Saint-Étienne,42000,FR,En attente,2022-07-26,manual_onboarding_2023.xlsx,Migration ERP en cours
B2B-52284-0093,Solutions Roux & Fils,226752895,22675289522983,FR25226752895,facturation.solutionsrouxfils@entreprise.fr,,+33 4 32 10 99 83,Rennes,35000,FR,En attente,2023-03-29,migration_batch_12.xlsx,
B2B-75035-0094,Solutions Marchand SARL,251355215,25135521527483,FR73251355215,facturation.solutionsmarchandsar@orange.fr,Julie Petit,+33 6 10 16 59 66,Nice,06000,FR,Actif,2024-09-08,migration_batch_12.xlsx,Client prioritaire - relance facturation
B2B-31319-0095,Logistique  Blanc  SAS,710405416,71040541649212,FR63710405416,facturation.logistiqueblancsas@orange.fr,Julie Petit,+33 6 53 86 88 71,Saint-Étienne,42000,FR,Actif,2023-01-25,partner_feed_b2b.csv,Compte créé avant réforme facturation électronique
B2B-80795-0096,Équipements Renault SAS,444310693,44431069347294,FR92444310693,facturation@,Philippe Petit,+33 7 35 22 13 36,Paris,75001,FR,Suspendu,2023-06-27,import_crm_2024_Q1.xlsx,Compte créé avant réforme facturation électronique
B2B-60793-0097,Distribution Marchand SA,256527048,25652704835200,FR34256527048,facturation.distributionmarchand@societe.com,Jean Robert,+33 1 20 95 54 79,Toulouse,31000,FR,En attente,2024-08-30,migration_batch_12.xlsx,Client prioritaire - relance facturation
B2B-72424-0098,Négoce Laurent SARL,416089896,41608989658856,FR77416089896,facturation.ngocelaurentsarl@orange.fr,Pierre Richard,+33 4 15 64 20 97,Reims,51100,FR,Actif,2022-06-28,partner_feed_b2b.csv,Compte créé avant réforme facturation électronique
B2B-62082-0099,Équipements Perrin SARL,854870999,85487099919613,FR36854870999,facturation.quipementsperrinsarl@orange.fr,Anne Bonnet,+33 6 23 82 22 46,Strasbourg,67000,FR,Inactif,2022-03-18,legacy_erp_export.csv,Migration ERP en cours
B2B-62818-0100,Transports Renault SA,299606532,48816,FR51299606532,facturation.transportsrenaultsa@gmail.com,Isabelle Michel,+33 7 99 97 22 39,Saint-Étienne,42000,FR,Suspendu,2022-07-02,legacy_erp_export.csv,Email facturation manquant
B2B-37707-0101,Groupe Dubois EURL,678508215,,FR27678508215,facturation.groupeduboiseurl@societe.com,Jean Robert,+33 6 17 41 14 68,Marseille,13001,FR,Actif,2022-03-04,legacy_erp_export.csv,Doublon suspecté
B2B-74066-0102,Services Girard & Fils,972798550,97279855090289,FR21972798550,facturation.servicesgirardfils@gmail.com,Nicolas Durand,+33 6 83 37 38 92,Le Havre,76600,FR,Suspendu,2022-01-19,partner_feed_b2b.csv,
B2B-94852-0103,Maintenance Faure France,290349445,29034944560161,FR84290349445,facturation.maintenancefaurefran@laposte.net,Sophie Fournier,+33 7 84 23 10 75,Nantes,44000,FR,Suspendu,2022-08-10,partner_feed_b2b.csv,
B2B-54077-0104,Industrie Martin France,454443282,45444328278647,FR96454443282,facturation.industriemartinfranc@entreprise.fr,François Leroy,+33 1 93 73 47 43,Le Havre,76600,FR,Actif,2023-04-01,migration_batch_12.xlsx,Email facturation manquant
B2B-98063-0105,Distribution Laurent & Fils,584282413,58428241395051,FR21584282413,facturation.distributionlaurentf@societe.com,Pierre Dupuis,+33 1 38 55 38 49,Nice,06000,FR,Actif,2025-04-10,migration_batch_12.xlsx,
B2B-71894-0106,Services Laurent SAS,381684604,38168460453633,FR58381684604,,Catherine Robert,+33 6 20 72 52 90,Nantes,44000,FR,En attente,2022-11-21,partner_feed_b2b.csv,
B2B-26961-0107,Transports Lambert SAS,966667603,96666760348903,FR29966667603,facturation..dupont@mail.fr,Isabelle Giraud,+33 6 90 41 38 98,Grenoble,38000,FR,Actif,2023-08-19,partner_feed_b2b.csv,Compte créé avant réforme facturation électronique
B2B-88167-0108,services faure sarl,856257531,85625753129402,FR78856257531,facturation.servicesfauresarl@orange.fr,Sophie Lemaire,+33 6 25 56 93 14,Toulouse,31000,FR,Suspendu,2022-02-10,import_crm_2024_Q1.xlsx,
B2B-64627-0109,Transports Mercier EURL,761847237,761847237,FR78761847237,facturation.transportsmerciereur@societe.com,Nicolas Bonnet,+33 4 63 23 75 89,Montpellier,34000,FR,Actif,2024-01-04,partner_feed_b2b.csv,Migration ERP en cours
B2B-31020-0110,Transports Bernard SARL,087375308,08737530875255,FR23087375308,facturation.transportsbernardsar@entreprise.fr,Pierre Petit,+33 1 22 42 92 39,Le Havre,76600,FR,Actif,2024-01-08,manual_onboarding_2023.xlsx,SIRET à vérifier
B2B-25191-0111,NÉGOCE GIRARD & FILS,100225579,10022557948840,FR29100225579,facturation.ngocegirardfils@laposte.net,Pierre Petit,+33 7 44 59 98 71,Lyon,69001,FR,Actif,2024-05-02,migration_batch_12.xlsx,Email facturation manquant
B2B-84572-0112,Distribution Renault SARL,729659026,72965902653907,FR12729659026,facturation.distributionrenaults@entreprise.fr,Jean Petit,+33 7 11 96 77 83,Saint-Étienne,42000,FR,En attente,2022-07-15,partner_feed_b2b.csv,Client prioritaire - relance facturation
B2B-73167-0113,Équipements Renault France,562890020,56289002021679,FR79562890020,facturation.quipementsrenaultfra@gmail.com,Catherine Leroy,+33 7 16 74 38 80,Bordeaux,33000,FR,Inactif,2024-07-04,manual_onboarding_2023.xlsx,
B2B-75191-0114,Logistique Mercier SASU,016608805,01660880527112,FR49016608805,facturation.logistiquemerciersas@entreprise.fr,Isabelle Leroy,+33 4 68 52 81 89,Lille,59000,FR,Actif,2023-12-01,manual_onboarding_2023.xlsx,Migration ERP en cours
